hole_high,hole_low,suited,pocket_pair,street,num_opponents,hand_class,normalized_strength,win_pct,tie_pct,loss_pct
10,2,1,0,3,1,8,0.3547,30.4,8.0,61.6
11,2,0,0,3,7,8,0.385,1.4,1.4,97.2
13,9,0,0,3,7,9,0.0846,8.2,2.6,89.2
9,7,0,0,4,4,9,0.0843,1.2,0.2,98.6
14,11,0,0,3,1,8,0.3452,53.8,4.0,42.2
7,7,0,1,4,1,8,0.3381,60.2,0.2,39.6
13,11,0,0,0,1,0,0.0,54.8,2.8,42.4
4,3,0,0,3,5,8,0.2012,16.0,3.4,80.6
14,13,0,0,3,2,8,0.2293,32.2,4.6,63.2
2,2,0,1,5,3,8,0.1865,2.8,0.0,97.2
14,8,0,0,5,4,8,0.376,13.0,0.8,86.2
3,2,0,0,3,7,9,0.1232,1.8,0.0,98.2
14,9,0,0,4,1,8,0.1957,47.2,2.4,50.4
12,4,0,0,0,4,0,0.0,16.2,2.6,81.2
7,2,0,0,3,4,9,0.1552,2.0,0.6,97.4
14,5,1,0,0,6,0,0.0,20.0,3.2,76.8
7,2,0,0,5,5,8,0.3243,3.2,0.4,96.4
14,11,0,0,4,5,9,0.1702,9.6,0.8,89.6
12,4,0,0,3,7,9,0.1345,6.6,1.0,92.4
14,7,0,0,4,7,8,0.3441,5.8,0.4,93.8
13,2,0,0,4,6,8,0.1915,5.8,0.2,94.0
10,7,0,0,5,8,7,0.6261,0.0,0.0,100.0
8,4,1,0,0,1,0,0.0,40.2,4.2,55.6
11,3,0,0,0,8,0,0.0,7.0,1.6,91.4
6,3,1,0,0,2,0,0.0,26.0,3.2,70.8
12,8,1,0,3,1,9,0.0536,35.0,3.0,62.0
9,3,0,0,3,1,8,0.3853,65.4,2.4,32.2
14,11,0,0,3,4,9,0.126,16.4,2.0,81.6
14,6,1,0,3,1,9,0.1091,43.2,2.4,54.4
11,3,0,0,3,6,6,0.6829,73.6,4.0,22.4
7,3,1,0,0,4,0,0.0,12.8,2.0,85.2
